Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
On a Clear Day I Can't See My Sister	2005-03-06	16	11	10.39	6.9	Bob Anderson	Jeff Westbrook
Home Away from Homer	2005-05-15	16	20	8.17	7.1	Bob Anderson	Joel H. Cohen
Treehouse of Horror XV	2004-11-07	16	1	11.29	7.4	David Silverman	Bill Odenkirk
Midnight Rx	2005-01-16	16	6	8.11	7.3	Nancy Kruse	Marc Wilmore
Pranksta Rap	2005-02-13	16	9	8.01	6.8	Mike B. Anderson	Matt Selman
Dumbbell Indemnity	1998-03-01	9	16	10.3	7.6	Dominic Polcino	Ron Hauge
Girls Just Want to Have Sums	2006-04-30	17	19	8.7	7.2	Nancy Kruse	Matt Selman
The Monkey Suit	2006-05-14	17	21	8.3	7.1	Raymond S. Persi	J. Stewart Burns
The Boys of Bummer	2007-04-29	18	18	7.57	6.3	Rob Oliver	Michael Price
Treehouse of Horror XVIII	2007-11-04	19	5	11.7	7.1	Chuck Sheetz	Marc Wilmore
Rome-Old and Juli-Eh	2007-03-11	18	15	8.98	6.3	Nancy Kruse	Daniel Chun
Papa Don't Leech	2008-04-13	19	16	6.9	6.1	Chris Clements	Reid Harrison
Marge and Homer Turn a Couple Play	2006-05-21	17	22	8.23	6.6	Bob Anderson	Joel H. Cohen
The Wife Aquatic	2007-01-07	18	10	13.9	6.6	Lance Kramer	Kevin Curran
Double, Double, Boy in Trouble	2008-10-19	20	3	8.09	7.0	Nancy Kruse	Bill Odenkirk
Treehouse of Horror XVII	2006-11-05	18	4	10.43	7.1	David Silverman & Matthew Faughnan	Peter Gaffney
That '90s Show	2008-01-27	19	11	7.6	6.3	Mark Kirkland	Matt Selman
The Burns and the Bees	2008-12-07	20	8	6.19	6.6	Mark Kirkland	Stephanie Gillis
Moe'N'a Lisa	2006-11-19	18	6	9.31	6.8	Mark Kirkland	Matt Warburton
The Haw-Hawed Couple	2006-12-10	18	8	8.29	7.2	Chris Clements	Matt Selman
Husbands and Knives	2007-11-18	19	7	10.5	7.1	Nancy Kruse	Matt Selman
All About Lisa	2008-05-18	19	20	6.11	6.4	Steven Dean Moore	John Frink
You Kent Always Say What You Want	2007-05-20	18	22	9.8	7.3	Matthew Nastuk	Tim Long
Dangerous Curves	2008-11-09	20	5	8.16	6.6	Matthew Faughnan	Billy Kimball & Ian Maxtone-Graham
Springfield Up	2007-02-18	18	13	8.8	7.3	Chuck Sheetz	Matt Warburton
Revenge Is a Dish Best Served Three Times	2007-01-28	18	11	8.09	7.0	Michael Polcino	Joel H. Cohen
Marge Gamer	2007-04-22	18	17	6.4	7.3	Bob Anderson	J. Stewart Burns
Stop! Or My Dog Will Shoot	2007-05-13	18	20	6.48	7.0	Matthew Faughnan	John Frink
Dial 'N' for Nerder	2008-03-09	19	14	7.3	7.3	Bob Anderson	Carolyn Omine & William Wright
Love, Springfieldian Style	2008-02-17	19	12	7.81	6.6	Raymond S. Persi	Don Payne
MyPods and Boomsticks	2008-11-30	20	7	7.8	7.1	Steven Dean Moore	Marc Wilmore
Sex, Pies and Idiot Scrapes	2008-09-28	20	1	9.3	7.2	Lance Kramer	Kevin Curran
Any Given Sundance	2008-05-04	19	18	6.18	7.0	Chuck Sheetz	Daniel Chun
Bart the Mother	1998-09-27	10	3	7.35	7.5	Steven Dean Moore	David S. Cohen
Take My Life, Please	2009-02-15	20	10	6.82	7.0	Steven Dean Moore	Don Payne
No Loan Again, Naturally	2009-03-08	20	12	5.99	7.0	Mark Kirkland	Jeff Westbrook
Elementary School Musical	2010-09-26	22	1	7.75	6.3	Mark Kirkland	Tim Long
Waverly Hills, 9-0-2-1-D'oh	2009-05-03	20	19	6.75	7.1	Michael Polcino	J. Stewart Burns
The Bob Next Door	2010-05-16	21	22	6.26	7.2	Nancy Kruse	John Frink
The Good, the Sad and the Drugly	2009-04-19	20	17	6.5	7.2	Rob Oliver	Marc Wilmore
Once Upon a Time in Springfield	2010-01-10	21	10	14.62	6.7	Matthew Nastuk	Stephanie Gillis
Bart Gets a 'Z'	2009-10-04	21	2	9.32	6.6	Mark Kirkland	Matt Selman
Eeny Teeny Maya Moe	2009-04-05	20	16	6.5	7.2	Nancy Kruse	John Frink
Chief of Hearts	2010-04-18	21	18	5.93	6.9	Chris Clements	Carolyn Omine & William Wright
The Great Wife Hope	2009-10-11	21	3	7.5	6.3	Matthew Faughnan	Carolyn Omine
To Surveil with Love	2010-05-02	21	20	6.06	7.2	Lance Kramer	Michael Nobori
The Scorpion's Tale	2011-03-06	22	15	6.2	6.7	Matthew Schofield	Billy Kimball & Ian Maxtone-Graham
The Blue and the Gray	2011-02-13	22	13	5.61	6.9	Bob Anderson	Rob LaZebnik
The Color Yellow	2010-02-21	21	13	6.08	6.6	Raymond S. Persi	Billy Kimball & Ian Maxtone-Graham
The Fool Monty	2010-11-21	22	6	6.58	6.5	Steven Dean Moore	Michael Price
O Brother, Where Bart Thou?	2009-12-13	21	8	7.11	7.2	Steven Dean Moore	Matt Selman
Boy Meets Curl	2010-02-14	21	12	5.87	6.8	Chuck Sheetz	Rob LaZebnik
Love Is a Many Strangled Thing	2011-03-27	22	17	6.14	6.5	Michael Polcino	Bill Odenkirk
The Devil Wears Nada	2009-11-15	21	5	9.04	6.7	Nancy Kruse	Tim Long
Homer Scissorhands	2011-05-08	22	20	5.48	7.2	Mark Kirkland	Peter Gaffney & Steve Viksten
Stealing First Base	2010-03-21	21	15	5.69	7.0	Steven Dean Moore	John Frink
How Munched is That Birdie in the Window?	2010-11-28	22	7	9.38	6.4	Michael Polcino	Kevin Curran
